Date,Time,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
2024-06-02,22:00,"Kankarbagh, Patna",33.0,47.9,29.0,79.6,0.0,0.0,,0,0,20.2,13.0,60.0,1003.0,50.0,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-02,23:00,"Kankarbagh, Patna",31.5,43.2,27.9,81.32,0.0,0.0,,0,0,22.0,12.2,56.0,1002.2,73.0,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-03,00:00,"Kankarbagh, Patna",31.0,44.3,29.0,89.14,0.0,0.0,,0,0,18.4,16.6,60.0,1002.0,88.8,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-03,01:00,"Kankarbagh, Patna",31.0,44.3,29.0,89.14,0.0,0.0,,0,0,11.5,11.2,60.0,1002.0,50.0,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-03,02:00,"Kankarbagh, Patna",30.4,40.7,27.7,85.11,0.0,0.0,,0,0,9.0,9.7,64.0,1001.3,61.8,4.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-03,03:00,"Kankarbagh, Patna",31.0,44.3,29.0,89.14,0.0,0.0,,0,0,11.2,11.2,70.0,1001.0,50.0,4.0,0,0.0,0,3,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-03,04:00,"Kankarbagh, Patna",30.0,42.2,29.0,94.4,0.0,0.0,,0,0,7.2,7.6,60.0,1001.0,50.0,3.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-03,05:00,"Kankarbagh, Patna",29.3,38.2,27.5,90.13,0.0,0.0,,0,0,10.1,4.6,80.0,1002.0,27.0,2.6,0,0.0,0,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,06:00,"Kankarbagh, Patna",31.0,44.3,29.0,89.14,0.0,0.0,,0,0,6.1,7.6,60.0,1002.0,27.0,4.0,10,0.0,0,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,07:00,"Kankarbagh, Patna",33.0,50.3,30.0,84.32,0.0,0.0,,0,0,1.8,3.6,120.0,1003.0,27.0,4.0,148,0.5,1,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,08:00,"Kankarbagh, Patna",33.2,46.1,28.0,74.52,0.0,0.0,,0,0,4.7,3.3,219.0,1003.2,30.9,3.2,357,1.3,4,10,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
2024-06-03,09:00,"Kankarbagh, Patna",35.0,51.0,29.0,71.19,0.0,0.0,,0,0,8.3,0.0,0.0,1003.0,27.0,4.0,533,1.9,5,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,10:00,"Kankarbagh, Patna",37.0,56.4,30.0,67.56,0.0,0.0,,0,0,13.3,0.0,0.0,1003.0,27.0,4.0,723,2.6,7,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,11:00,"Kankarbagh, Patna",38.1,52.9,27.9,56.37,0.0,0.0,,0,0,16.2,0.0,0.0,1002.9,42.1,4.6,875,3.2,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,12:00,"Kankarbagh, Patna",39.0,54.2,28.0,53.99,0.0,0.0,,0,0,19.8,7.6,350.0,1002.0,50.0,5.0,972,3.5,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,13:00,"Kankarbagh, Patna",40.0,51.6,26.0,45.49,0.0,0.0,,0,0,20.9,3.6,20.0,1001.0,50.0,5.0,994,3.6,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,14:00,"Kankarbagh, Patna",40.0,54.9,27.7,50.02,0.0,0.0,,0,0,22.0,6.7,78.0,999.8,53.9,4.6,949,3.4,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,15:00,"Kankarbagh, Patna",40.0,53.5,27.0,48.26,0.0,0.0,,0,0,23.8,7.6,50.0,999.0,88.8,4.0,708,2.5,7,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,16:00,"Kankarbagh, Patna",39.0,54.2,28.0,53.99,0.0,0.0,,0,0,26.3,13.0,80.0,998.0,27.0,5.0,580,2.1,6,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,17:00,"Kankarbagh, Patna",36.7,49.6,27.3,58.56,0.4,100.0,rain,0,0,25.6,12.2,38.0,998.9,84.8,3.4,484,1.7,5,10,"Rain, Partially cloudy",rain,"42387099999,42488099999,VEPT,42492099999"
2024-06-03,18:00,"Kankarbagh, Patna",37.0,49.4,27.0,56.75,0.0,0.0,,0,0,22.3,5.4,130.0,999.0,27.0,3.0,273,1.0,3,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-03,19:00,"Kankarbagh, Patna",36.0,48.1,27.0,59.95,0.0,0.0,,0,0,16.9,7.6,150.0,1000.0,0.0,4.0,69,0.2,0,10,Clear,clear-night,"VEPT,42492099999"
